created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon Dec 04 14:38:54 +0000 2023,1731684506078228874,Plissss lah Masa w ke surabaya pas covid mulu dah,0,0,0,1,in,1274742535768834048,1731684506078228874,lillkickity,https://twitter.com/lillkickity/status/1731684506078228874
Sun Dec 03 22:33:34 +0000 2023,1731441575648251904,"@dayroraxy @Widino Mutiara yang enak di keluarga. Btw, bakpia tugu, lapis pahlawan Surabaya, bolu susu kembang Bandung dkk itu pnya omset hampir -l 1 Triliun sebelum covid 19.",0,0,0,0,in,1657374011414937601,1731241963033358710,Abiiiii789,https://twitter.com/Abiiiii789/status/1731441575648251904
Sun Dec 03 13:21:32 +0000 2023,1731302651290390978,"Profil Doni Monardo, Mantan Kepala BNPB dan Ketua Satgas Covid-19 yang Meninggal Dunia #DoniMonardo  #BNPB #SatgasCovid19 #RIP #viral https://t.co/GF9TZ9mZHg",0,0,0,0,in,1413176894837583877,1731302651290390978,zona_raya,https://twitter.com/zona_raya/status/1731302651290390978
Sun Dec 03 13:18:30 +0000 2023,1731301887755075865,Doni Monardo Mantan Ketua Satgas Covid-19 Berpulang pada Minggu Petang https://t.co/yYiQoLytnA,3,5,13,56,in,848614550,1731301887755075865,e100ss,https://twitter.com/e100ss/status/1731301887755075865
Thu Nov 30 15:55:40 +0000 2023,1730254275513823488,@happppycouple maxim penganti go massage/ go life. dulu saya ikut gomassage sebelum covid.,0,0,0,0,in,1482046296295100417,1730231996645773821,Sudrajat110,https://twitter.com/Sudrajat110/status/1730254275513823488
Thu Nov 30 14:10:55 +0000 2023,1730227915432841520,BI sebut QRIS Selamatkan Indonesia dari Krisis Saat Pandemi Covid-19 https://t.co/xMg2pHYQVb,0,0,0,3,in,848614550,1730227915432841520,e100ss,https://twitter.com/e100ss/status/1730227915432841520
Thu Nov 30 05:29:12 +0000 2023,1730096620380033250,"@kompascom Buanyak sekali usia 40 an yg pengangguran setelah covid,f Surabaya banyak. SAMPAI ada yg setres bunuh diri jg, pemerintahan harus hadir turun tangan mengatasi hal ini,terutama d Surabaya, banyak pengangguran krn d batasi oleh usia",0,0,1,8,in,1642627278789283840,1730088050611650691,JendralKepitin9,https://twitter.com/JendralKepitin9/status/1730096620380033250
Wed Nov 29 09:18:05 +0000 2023,1729791834287677870,"@Aditya5803 @widodo_naufal @Goldmind_82 Tapi hasilnya bagus dan konsisten kan. Walaupun tergebrak gara2 covid, tapi pertandingan tetap jalan (setidaknya region jatim di GOR Pancasila waktu itu). Terus sekarang perlahan naik kembali ke peak awalnya. Bahkan tiket Final Surabaya tempo hari aja ludes dalam waktu 3 menit.",0,0,0,0,in,1087923769279160325,1729686908815528152,Sangwa24,https://twitter.com/Sangwa24/status/1729791834287677870
Wed Nov 29 05:28:05 +0000 2023,1729733953089655022,"@mawakresna @widiguruh @gibran_tweet - Kota Solo adalah kota dgn pertumbuhan tertinggi 2022 selain batam dan surabaya. -  Di provinsi jawa tengah tahun 2022 solo tertinggi no 1 - Betul soal umkm, karena daerah lain program yg telah berjalan sejak sebelum covid melanda. - Betul ada kota lain selain solo yg lbh tinggi",0,2,0,0,in,1661564597709705216,1729401854306775505,omygbaik,https://twitter.com/omygbaik/status/1729733953089655022
Mon Nov 27 08:32:48 +0000 2023,1729055658761462180,"Rail Clinic Kembali Hadir untuk Masyarakat. Setelah vakum akibat pandemi Covid-19, Rail Clinic milik KAI kembali memberikan layanan kesehatan secara gratis kepada masyarakat.  #RailClinicKAI #keretaapikita https://t.co/SoYSUc9fAP",0,0,0,0,in,1431834038315094016,1729055658761462180,bumnsbyjitu,https://twitter.com/bumnsbyjitu/status/1729055658761462180
